index,bias
0,-0.06637084484100342
1,-0.09533941745758057
2,0.015330910682678223
3,0.01975381374359131
4,0.061572909355163574
5,-0.027912139892578125
6,0.01207423210144043
7,0.05198836326599121
8,-0.008814692497253418
9,-0.005568981170654297
10,-0.0006221532821655273
11,0.048255085945129395
12,-0.04005694389343262
13,-0.03581345081329346
14,0.03470802307128906
15,-0.019307255744934082
16,0.061572909355163574
17,0.015330910682678223
18,-0.00567317008972168
19,0.061572909355163574
20,0.027225494384765625
21,-0.017362475395202637
22,0.042297959327697754
23,0.014989137649536133
24,-0.010735154151916504
25,0.010083436965942383
26,0.035666704177856445
27,-0.02068352699279785
28,0.030201077461242676
29,-0.01992499828338623
30,-0.024277210235595703
31,0.007620692253112793
32,-0.016957998275756836
33,0.03340768814086914
34,-0.023061275482177734
35,0.06182682514190674
36,-0.07832556962966919
37,-0.017182230949401855
38,-0.06587207317352295
39,-0.01784694194793701
40,0.0014777183532714844
41,0.0070503950119018555
42,-0.10635209083557129
43,-0.032515645027160645
44,-0.0028166770935058594
45,0.007124543190002441
46,0.06423592567443848
47,-0.002337336540222168
