index,bias
0,0.0071887969970703125
1,-0.10892605781555176
2,-0.01854240894317627
3,-0.040886640548706055
4,0.039884328842163086
5,-0.023712754249572754
6,-0.0037037134170532227
7,0.030659079551696777
8,-0.03932225704193115
9,-0.05844616889953613
10,0.0053212642669677734
11,0.019214510917663574
12,-0.05101120471954346
13,-0.05839419364929199
14,-0.012678742408752441
15,-0.02309584617614746
16,0.039884328842163086
17,-0.01854240894317627
18,-0.07087934017181396
19,0.039884328842163086
20,-0.03352642059326172
21,-0.0179063081741333
22,-0.028206467628479004
23,-0.03802204132080078
24,-0.045590996742248535
25,-0.009969472885131836
26,-0.08856451511383057
27,0.00640261173248291
28,0.0016732215881347656
29,-0.02098405361175537
30,0.006528615951538086
31,-0.04976773262023926
32,-0.025529325008392334
33,0.02742171287536621
34,-0.010641694068908691
35,0.05743563175201416
36,-0.13108330965042114
37,-0.06157660484313965
38,-0.05391418933868408
39,-0.006750583648681641
40,-0.04713994264602661
41,0.024031758308410645
42,-0.16577106714248657
43,-0.06157660484313965
44,-0.018976807594299316
45,0.031323790550231934
46,-0.001774907112121582
47,-0.04841947555541992
